,age,number_of_time_30_59_days_past_due_not_worse,debt_ratio,monthly_income,number_of_times_90_days_late,number_real_estate_loans_or_lines,number_of_time_60_89_days_past_due_not_worse,number_of_dependents,monthly_income_max,revolving_utilization_of_unsecured_lines_impute,debt_ratio_impute,serious_dlqin_2yrs
48181,2,2,1,4,1,0,1,0,6,6,1,1
79097,8,0,2,3,0,2,0,0,5,1,1,0
41993,9,0,1,5,0,0,0,1,7,3,1,0
85584,4,0,3,5,0,2,0,2,7,3,2,0
67457,8,0,3,2,0,0,0,0,3,2,2,0
109034,2,0,1,7,0,1,0,0,9,1,1,0
30942,2,0,1,1,0,0,0,2,2,7,1,0
54709,4,0,1,2,0,2,0,1,4,1,1,0
11426,1,0,3,5,0,2,0,0,7,1,2,0
135069,2,2,1,5,0,0,0,3,7,1,1,0
61021,8,0,1,8,0,1,0,1,10,0,1,0
140194,8,0,5,1,0,0,0,0,2,5,4,0
6404,4,0,7,0,0,2,0,0,6,1,0,0
140212,4,0,1,8,0,0,0,2,10,1,1,0
121239,9,0,0,1,0,0,0,0,3,1,0,0
96046,1,1,4,6,1,2,1,3,8,7,3,1
27840,4,0,1,6,0,0,0,0,8,7,1,0
9371,8,0,5,0,0,0,0,0,0,0,0,0
88382,10,1,4,1,0,1,0,0,2,2,3,0
70257,4,0,7,0,0,2,0,0,7,0,0,0
128528,8,0,1,5,0,1,0,0,7,2,1,0
31966,3,0,7,0,0,2,0,0,2,1,0,0
128889,9,1,1,4,0,0,0,0,6,1,1,0
94781,1,0,7,0,0,1,0,0,2,1,0,0
131403,6,0,7,0,0,2,0,0,3,1,0,0
45079,4,0,1,8,0,2,0,1,10,1,1,0
142184,1,0,3,6,0,2,0,3,8,4,2,0
114099,6,0,7,0,1,1,0,0,2,7,0,0
76094,6,1,7,0,0,1,1,1,2,5,0,0
89249,3,0,7,0,0,3,0,2,8,1,0,0
73230,6,0,1,8,0,1,0,0,10,4,1,0
138996,1,0,1,7,0,1,0,0,9,1,1,0
62691,5,0,4,4,0,1,0,0,6,1,3,0
17899,9,0,0,8,0,0,0,0,10,0,0,0
59573,8,0,1,8,0,3,0,1,10,1,1,0
112313,0,0,1,0,0,0,0,0,1,1,1,0
17207,6,0,4,5,0,2,0,0,7,5,3,0
147722,2,0,7,0,0,2,0,0,4,5,0,0
22150,9,0,5,1,0,1,0,1,3,0,4,0
65953,6,0,3,6,0,1,0,3,8,1,2,0
146229,1,0,6,0,0,0,0,0,1,1,0,0
63920,7,1,2,2,0,0,1,0,4,4,1,0
14564,4,0,1,8,0,2,0,2,10,1,1,0
42586,0,0,1,4,0,0,0,0,6,7,1,0
116031,2,0,1,5,0,0,0,0,7,0,1,0
26885,4,0,1,8,0,2,0,3,10,3,1,0
110497,4,0,5,0,0,2,0,2,2,1,1,0
12972,8,1,1,4,0,1,0,0,5,5,1,0
90749,7,0,4,4,0,2,0,0,6,7,3,0
99301,8,0,7,0,0,3,0,0,10,0,0,0
13249,2,0,0,0,0,0,0,0,0,0,0,0
139660,10,0,1,1,0,0,0,0,2,0,1,0
149809,2,0,5,3,0,1,0,3,5,6,4,0
149801,10,0,1,3,0,0,0,0,5,1,1,0
100183,3,0,1,8,0,1,0,2,10,2,1,0
48311,4,0,1,2,0,0,0,2,4,0,1,0
130767,8,0,1,8,0,2,0,1,10,1,1,0
38039,6,0,1,7,0,1,0,0,9,1,1,0
123029,0,0,6,0,0,0,1,0,1,1,0,0
146121,3,0,1,1,0,0,0,0,2,1,1,0
137594,2,0,4,7,0,3,0,0,9,2,3,0
136250,2,2,0,4,0,0,0,3,5,0,0,0
29366,2,0,4,3,0,1,0,0,5,2,3,0
136019,5,0,5,5,0,3,0,0,7,1,4,0
1112,8,0,3,5,0,2,0,0,7,1,2,0
69823,4,0,7,0,0,2,0,2,4,1,0,0
111571,8,0,7,0,0,3,0,0,6,1,0,0
15952,0,1,1,5,0,0,0,1,7,1,1,0
73417,10,1,0,6,0,0,0,0,8,1,1,0
4695,1,1,5,5,0,1,0,0,7,6,4,0
144379,2,0,1,8,0,2,0,3,10,1,1,0
960,3,0,6,0,0,0,0,0,1,6,0,0
47539,5,0,1,4,0,1,0,1,6,0,1,0
37885,0,0,1,6,0,0,0,1,8,3,1,0
136940,2,1,6,0,0,1,0,0,1,1,1,0
106320,4,0,1,8,0,1,0,2,10,1,1,0
30423,8,1,4,5,0,1,0,0,7,4,3,0
91807,0,0,6,0,0,0,0,0,0,1,0,0
41643,0,0,1,8,0,2,0,2,10,7,1,0
118641,3,0,1,7,0,0,0,1,9,5,1,0
46256,7,1,1,8,1,1,0,0,10,4,1,0
57666,3,2,3,3,0,1,0,0,5,0,2,0
16780,6,0,1,8,0,2,0,0,10,1,1,0
29599,7,0,7,0,0,1,0,1,5,1,0,0
77314,3,0,3,1,0,1,0,3,2,5,2,0
133009,5,2,7,0,1,1,0,0,2,1,0,0
9281,2,1,1,8,1,2,0,3,10,1,1,0
135148,2,1,1,7,0,3,0,3,9,4,1,0
127718,0,0,1,5,0,0,0,0,7,6,1,0
107754,8,1,6,0,0,0,0,0,1,6,0,1
62541,9,0,1,4,0,1,0,0,6,1,1,0
112114,9,0,6,0,0,1,0,0,1,1,0,0
7869,5,0,3,5,0,1,0,2,7,7,2,0
67944,6,0,6,0,0,0,0,2,0,0,0,0
110472,4,0,1,8,0,1,0,2,10,1,1,0
57603,8,1,5,5,0,2,0,1,7,7,4,0
70863,0,0,7,0,0,3,0,0,10,0,0,0
134850,2,0,1,8,0,1,0,2,10,3,1,0
128826,7,0,1,5,0,1,0,0,7,1,1,0
79220,9,0,1,5,0,0,0,0,7,0,1,0
48626,9,0,0,7,0,0,0,0,9,1,0,0
112726,3,1,2,6,0,1,0,3,8,4,1,0
17770,1,0,5,0,0,0,0,1,1,7,1,0
895,5,0,4,2,0,1,0,0,4,6,3,0
148944,4,0,1,5,0,1,0,2,7,1,1,0
104160,8,1,1,8,0,1,0,0,10,3,1,0
14436,10,0,0,3,0,0,0,0,5,1,1,0
101540,6,0,1,8,0,1,0,0,10,5,1,0
95179,3,0,1,5,0,0,0,0,7,1,1,0
94656,5,1,5,1,0,3,0,0,2,1,1,0
144593,4,0,4,7,0,2,0,1,9,5,3,0
127354,3,0,0,3,0,0,0,3,5,7,1,0
112906,1,2,1,3,1,0,0,0,5,1,1,1
30016,0,0,0,0,0,0,0,0,1,0,0,0
25061,4,1,3,1,0,1,0,1,3,1,2,0
124192,2,0,4,3,0,1,0,1,5,1,3,0
92192,6,0,7,0,0,1,0,0,2,1,0,0
129322,3,0,1,5,0,0,0,0,7,5,1,0
51827,10,0,7,0,0,1,0,0,1,1,0,0
14639,5,0,1,5,0,1,0,0,7,0,1,0
37665,4,0,1,8,0,1,0,0,10,7,1,0
123605,9,0,6,0,0,0,0,0,0,0,0,0
14226,8,0,5,1,0,2,0,0,2,1,1,0
8417,8,0,5,4,0,2,0,1,6,2,4,0
45266,2,0,1,8,0,2,0,1,10,0,1,0
60296,10,0,0,6,0,0,0,0,8,1,1,0
21009,9,0,7,0,0,1,0,0,3,1,0,0
107900,0,0,6,0,0,0,0,0,1,7,0,0
42124,8,1,7,0,0,2,1,0,8,7,0,1
83645,4,0,5,5,0,1,0,1,7,2,4,0
36539,7,0,1,4,0,0,0,0,6,1,1,0
105217,5,0,7,0,0,1,0,0,3,4,0,0
133411,9,0,1,7,0,2,0,1,9,6,1,0
33299,8,0,4,6,0,1,0,0,8,1,3,0
124459,4,0,6,0,0,0,0,0,0,1,0,0
41204,3,0,1,4,0,0,0,0,5,1,1,0
149694,0,0,4,1,0,1,0,0,3,7,3,1
82366,5,1,3,5,0,3,0,0,7,1,2,0
85102,6,0,1,8,0,1,0,0,10,2,1,0
135311,6,0,0,4,0,0,0,0,6,0,0,0
109427,9,0,7,0,0,2,0,3,4,0,0,0
18505,3,0,1,7,0,1,0,2,9,4,1,0
107466,4,0,4,5,0,2,0,3,7,3,3,0
38045,8,0,2,1,0,0,0,0,3,7,1,0
19002,8,0,4,5,0,1,0,2,7,1,3,0
136991,2,0,6,0,0,0,0,3,1,7,0,0
130538,0,0,2,5,0,2,0,2,7,1,1,0
89855,6,0,1,4,0,0,0,0,5,5,1,0
112549,0,0,6,0,0,0,0,0,1,1,0,0
52102,0,0,1,4,0,0,0,3,5,6,1,0
149565,7,0,2,2,0,1,0,0,4,1,1,0
103621,8,0,5,5,0,3,0,0,7,1,4,0
26581,4,0,5,2,0,1,0,1,4,1,4,0
136261,4,0,6,0,1,0,0,0,1,7,0,0
133760,9,0,7,0,0,1,0,2,2,0,0,0
29880,3,0,1,5,0,2,0,0,7,1,1,0
77488,8,0,6,0,0,0,0,0,0,1,0,0
77575,9,0,6,0,0,1,0,0,1,2,0,0
76308,5,1,7,0,0,1,0,0,2,2,0,0
112793,10,0,6,0,0,0,0,0,0,1,0,0
126314,3,0,1,1,0,0,0,0,2,1,1,0
94989,2,2,1,7,0,1,0,0,9,3,1,0
52652,8,0,1,8,0,0,0,1,10,1,1,0
91739,6,0,3,4,0,1,0,1,5,1,2,0
61397,8,0,0,4,0,0,0,0,6,1,0,0
62098,0,0,1,4,0,1,0,2,5,1,1,0
72245,3,0,1,2,0,0,0,1,4,0,1,0
86885,1,0,1,6,0,1,0,0,8,2,1,0
29931,2,0,4,4,0,1,0,1,5,2,3,0
11658,5,0,6,0,0,0,0,3,0,1,0,0
105113,9,0,7,0,0,0,0,0,1,6,0,0
60657,2,0,4,4,0,1,0,3,5,3,3,0
125229,8,0,2,4,0,1,0,2,5,1,1,0
21429,10,1,6,0,0,1,0,0,1,7,0,0
99311,9,0,1,8,0,0,0,0,10,1,1,0
123399,9,0,7,0,0,1,0,0,2,0,0,0
95391,8,0,4,8,0,1,0,0,10,4,3,0
28676,7,0,1,7,0,1,0,1,9,1,1,0
26642,0,0,0,0,0,0,0,0,0,0,0,0
68329,2,0,1,7,0,2,0,0,9,0,1,0
33081,0,1,1,5,0,0,0,0,7,7,1,0
26791,9,0,6,0,0,1,0,0,1,1,0,0
55705,2,0,1,2,0,0,0,3,4,1,1,0
77087,8,0,1,6,0,1,0,1,8,1,1,0
129345,6,0,0,8,0,0,0,2,10,0,1,0
52091,4,0,6,0,0,0,0,0,1,2,0,0
53620,8,0,7,0,0,1,0,0,2,1,0,0
93073,7,0,1,8,0,2,0,0,10,3,1,0
73125,4,0,5,4,0,2,0,1,5,7,4,0
66076,5,0,1,6,0,0,0,0,8,4,1,0
140831,2,1,3,1,0,1,0,3,2,6,2,0
98780,0,0,1,0,0,0,0,0,2,3,1,0
15210,9,0,0,1,0,0,0,0,3,1,1,0
133356,9,1,6,0,0,0,0,0,0,7,0,0
20697,2,0,1,5,1,0,0,0,7,1,1,0
27918,1,0,1,7,0,0,0,1,9,6,1,0
59333,2,0,4,5,0,2,0,3,7,1,3,0
91290,4,0,6,0,0,1,0,0,1,1,0,0
120720,5,0,3,5,0,3,0,1,7,1,2,0
113511,2,0,6,0,0,0,0,0,0,0,0,0
65317,0,0,1,4,0,0,0,0,6,6,1,0
64254,7,0,6,0,0,1,0,0,1,1,0,0
113129,1,0,1,7,0,2,0,0,9,6,1,0
85518,3,0,1,7,0,1,0,3,9,7,1,0
62523,5,0,7,0,0,1,0,0,4,3,0,0
95468,3,0,2,6,1,0,0,3,8,5,1,1
100950,2,1,7,0,0,1,0,0,3,0,0,0
125988,2,0,1,4,0,1,0,0,5,1,1,0
85159,6,1,5,4,0,2,0,0,6,5,4,0
79680,0,0,1,5,0,0,1,2,7,1,1,0
24387,0,1,6,0,0,0,0,0,1,4,0,1
83081,10,0,0,4,0,0,0,0,5,1,0,0
118157,8,0,1,1,0,0,0,0,3,1,1,0
10258,10,0,0,0,0,0,0,0,0,0,0,0
108940,10,1,7,0,0,2,0,0,3,0,0,1
7414,10,0,6,0,0,0,0,0,1,1,0,0
112718,2,0,1,2,0,0,1,2,4,7,1,0
52303,3,0,2,7,0,2,0,3,9,1,1,0
137436,0,0,6,0,1,0,0,0,0,7,0,1
36654,3,0,7,0,0,1,0,2,3,1,0,0
54415,8,0,0,5,0,0,0,0,7,1,1,0
5225,3,0,3,1,0,0,0,0,2,7,2,0
61068,6,0,1,8,0,3,0,0,10,0,1,0
59310,10,0,4,3,0,1,0,0,5,1,3,0
57560,2,0,1,1,0,0,0,2,2,7,1,0
84791,9,0,1,5,0,0,0,0,7,1,1,0
111096,0,0,1,2,0,0,0,0,4,0,1,0
65926,10,0,1,3,0,0,0,0,5,1,1,0
79165,2,0,7,0,0,1,0,0,4,7,0,0
20183,3,1,5,3,0,2,0,2,5,0,4,0
64241,4,1,7,0,0,1,1,2,5,6,0,0
52638,8,0,4,8,0,3,0,1,10,7,3,0
43712,10,0,6,0,0,0,0,0,0,1,0,0
61540,7,1,1,5,0,1,0,0,7,1,1,0
23536,10,0,4,1,0,0,0,0,2,1,3,0
44797,0,1,1,1,0,0,0,0,3,1,1,0
4368,1,0,1,8,0,2,0,0,10,5,1,0
57956,8,0,0,7,0,0,0,2,9,0,0,0
107878,9,0,4,7,0,2,0,0,9,0,3,0
55962,0,1,6,0,1,0,0,3,1,7,0,1
65347,3,2,4,7,1,3,1,0,9,7,3,0
35024,4,0,4,5,0,1,0,0,7,6,3,0
70915,0,0,0,0,0,0,0,0,0,7,0,0
106862,0,0,1,5,0,0,0,0,7,2,1,0
128672,4,0,1,7,0,1,0,3,9,1,1,0
61618,10,0,0,4,0,0,0,0,5,1,0,0
78924,7,0,2,5,0,2,0,0,7,1,1,0
119802,4,0,1,5,0,1,0,1,7,0,1,0
113446,4,1,1,8,0,2,1,2,10,3,1,0
78271,8,0,5,5,0,2,0,0,7,1,4,0
53419,10,0,1,0,0,0,0,0,1,1,1,0
120270,6,0,7,0,0,2,0,0,6,3,0,0
23617,8,0,7,0,0,2,0,0,5,0,0,0
106727,3,0,1,4,0,1,0,1,6,1,1,0
35057,7,0,1,4,0,0,0,0,5,1,1,1
107814,7,0,1,8,0,1,0,0,10,1,1,0
132158,3,1,6,0,1,0,0,0,1,1,0,1
97758,4,0,2,5,0,1,0,2,7,1,1,0
35190,8,0,1,8,0,1,0,1,10,1,1,0
26546,2,0,1,2,0,0,0,3,4,1,1,0
127277,6,0,1,8,0,3,0,3,10,1,1,0
104481,7,0,4,4,0,2,0,0,6,1,3,0
54604,4,0,1,6,0,0,0,2,8,4,1,0
42205,9,0,6,0,0,0,0,0,0,1,0,0
59644,3,0,3,1,0,1,0,0,3,1,2,0
50022,9,0,7,0,0,1,0,0,2,1,0,0
12692,9,0,1,8,0,2,0,0,10,0,1,0
138449,1,0,4,5,0,2,0,0,7,1,3,0
94793,10,1,4,2,0,1,0,0,4,4,3,0
80068,8,0,1,8,0,3,0,0,10,1,1,0
21336,4,0,1,8,0,1,0,1,10,7,1,0
122096,7,0,1,5,0,1,0,1,7,0,1,0
143650,0,0,1,1,0,0,0,2,2,7,1,0
68511,8,0,1,5,0,1,0,1,7,1,1,0
117066,0,0,0,2,0,0,0,0,4,1,0,0
119423,9,0,5,5,0,3,0,0,7,7,4,0
85516,2,0,7,0,0,1,1,2,2,4,0,0
100717,1,2,1,5,0,0,0,0,7,1,1,0
115572,4,0,3,7,0,3,0,3,9,2,2,0
44261,10,0,0,4,0,0,0,0,5,0,0,0
99097,10,0,0,4,0,0,0,0,5,1,1,0
1551,6,0,5,1,0,1,0,0,3,3,1,0
18849,6,0,1,7,0,1,0,0,9,1,1,0
8938,8,0,3,4,0,2,0,2,6,7,2,0
16265,3,0,5,5,0,1,0,1,7,1,4,0
67871,7,0,1,8,0,1,0,2,10,1,1,0
101464,4,0,0,5,0,0,0,3,7,0,0,0
120738,4,0,1,5,0,0,0,3,7,5,1,0
71218,8,0,1,8,0,2,0,0,10,2,1,0
70704,4,0,5,5,0,1,0,1,7,7,4,1
111143,1,0,3,8,0,1,0,0,10,5,2,0
108499,8,0,1,8,0,1,0,1,10,1,1,0
103308,6,0,3,7,0,2,0,2,9,1,2,0
74606,1,1,7,0,0,1,0,0,2,0,0,0
109035,8,2,1,8,0,1,0,1,10,6,1,0
37200,2,0,1,5,0,1,0,0,7,1,1,0
49191,1,0,1,7,0,0,0,0,9,4,1,0
107990,8,0,1,2,0,1,0,0,4,0,1,0
56449,6,0,1,7,0,0,1,1,9,4,1,0
45683,2,0,2,5,0,2,0,2,7,0,1,0
92792,9,0,3,7,0,1,0,0,9,5,2,0
132198,2,0,1,4,0,1,0,3,6,1,1,0
29740,6,0,7,0,0,2,0,0,2,0,0,0
46293,5,1,5,2,0,1,0,0,4,1,1,0
91252,5,0,1,5,0,0,0,0,7,5,1,0
125522,0,0,3,0,1,0,1,1,2,1,2,0
42610,1,0,1,3,0,0,0,0,5,4,1,0
130997,6,0,4,4,0,1,0,1,5,1,3,0
43739,6,0,7,0,0,2,1,1,3,5,0,0
147440,10,0,0,3,0,0,0,0,5,1,0,0
105814,8,0,6,0,0,1,0,0,1,1,0,0
39240,0,0,1,2,0,1,0,0,3,1,1,0
105596,4,0,1,4,0,1,0,1,6,7,1,1
135283,3,0,5,2,0,1,0,0,4,2,4,0
100760,0,1,1,4,1,0,0,0,5,1,1,0
9075,2,0,1,7,0,2,0,3,9,0,1,0
2719,2,0,0,2,1,0,0,1,4,1,1,0
38085,4,0,1,4,0,0,0,1,5,7,1,0
37290,4,0,1,3,0,0,0,0,5,1,1,0
114569,7,0,1,2,0,0,0,0,4,0,1,0
114727,4,0,5,0,0,0,0,0,0,0,0,0
135811,6,0,5,5,0,2,0,3,7,7,4,1
80719,5,2,1,8,0,1,0,3,10,6,1,0
14196,8,0,6,0,0,0,0,0,0,1,0,0
126358,10,0,4,8,0,2,0,0,10,7,3,0
91576,5,0,7,0,0,2,0,0,4,4,0,0
125832,4,0,6,0,0,0,0,0,0,0,0,0
102688,9,0,6,0,0,0,0,0,1,1,0,0
94189,1,0,1,2,0,0,0,3,4,0,1,0
93396,3,0,1,1,0,0,1,0,3,7,1,0
106429,6,0,1,5,0,0,0,0,7,1,1,0
101022,0,0,4,2,0,2,0,0,4,1,3,0
97892,5,2,3,6,0,2,0,0,8,7,2,1
49493,9,0,1,5,0,0,0,0,7,1,1,0
103429,5,0,6,0,0,1,0,0,1,0,0,0
7145,0,0,1,8,0,2,0,0,10,0,1,0
62546,2,0,1,3,0,0,0,0,5,7,1,0
11197,10,0,1,5,0,1,0,0,7,1,1,0
142916,2,2,1,5,0,2,0,0,7,4,1,0
136792,9,0,0,8,0,1,0,0,10,1,1,0
32964,9,0,1,8,0,1,0,1,10,1,1,0
86071,8,0,7,0,0,1,0,0,1,1,0,0
8190,5,0,1,5,0,1,0,0,7,1,1,0
114123,0,1,6,0,0,0,0,0,1,7,0,0
26190,3,0,5,3,0,2,0,0,5,6,1,0
28560,2,2,1,8,1,0,0,1,10,7,1,1
105308,7,0,6,0,0,1,0,0,1,0,0,0
136649,8,0,1,3,0,1,0,0,5,1,1,0
12720,8,1,7,0,0,2,0,1,5,1,0,0
66206,6,0,1,5,0,0,0,0,7,1,1,0
115626,8,0,0,1,0,0,0,0,2,0,1,0
136349,7,0,7,0,0,2,0,0,2,0,0,0
16389,1,0,6,0,0,0,0,2,1,1,0,0
118652,1,0,3,5,0,1,0,3,7,1,2,0
14001,6,0,0,4,0,0,0,0,6,0,0,0
48794,10,0,0,4,0,0,0,0,5,1,0,0
124713,2,0,4,1,0,0,0,0,3,5,3,0
69357,7,0,6,0,0,0,0,0,1,7,0,0
69622,6,0,7,0,0,2,0,0,2,0,0,0
64564,2,0,5,1,0,1,0,0,2,4,1,0
82886,5,0,5,1,0,1,0,1,3,2,1,0
105919,5,0,1,8,0,2,0,2,10,1,1,0
105722,0,1,1,3,1,0,0,0,5,7,1,0
56514,1,1,1,8,0,2,0,2,10,1,1,0
119363,2,0,3,5,0,2,0,1,7,3,2,0
10500,4,0,1,8,0,2,0,1,10,0,1,0
56836,2,0,5,0,0,0,0,0,1,5,1,0
142726,4,0,5,5,0,1,0,2,7,2,4,0
126979,4,0,1,5,0,2,0,2,7,1,1,0
39846,10,0,0,5,0,0,0,0,7,0,0,1
21952,6,0,7,0,0,1,0,0,2,7,0,0
124692,8,0,1,8,0,1,0,0,10,1,1,0
123159,2,0,2,7,0,1,0,2,9,1,1,0
2426,0,1,7,0,0,1,0,0,4,5,0,0
144284,5,0,2,7,0,2,0,0,9,1,1,0
126878,1,0,1,5,0,0,1,0,7,7,1,0
148809,1,0,3,5,0,1,0,0,7,1,2,0
105898,4,0,6,0,0,0,0,2,0,0,0,0
59325,6,2,1,5,0,0,0,0,7,0,1,0
103375,6,0,1,6,0,1,0,0,8,4,1,0
88288,2,0,1,6,0,2,0,3,8,1,1,0
13255,6,0,1,5,0,2,0,0,7,1,1,0
95847,10,0,1,4,0,1,0,0,5,2,1,0
106615,9,0,0,2,0,0,0,0,4,0,0,0
127329,0,0,1,0,0,0,0,0,1,1,1,0
65057,2,0,3,7,0,2,0,1,9,2,2,0
108434,3,0,4,8,0,3,0,0,10,3,3,0
77937,0,0,1,3,0,0,0,0,5,3,1,0
113067,1,2,5,6,0,3,0,0,8,7,1,0
132774,4,0,2,7,0,1,0,1,9,7,1,0
121054,10,0,5,4,0,1,0,0,6,0,4,0
100417,0,0,3,2,0,1,0,2,4,0,2,0
79774,0,0,1,0,0,0,0,0,1,7,1,0
51953,6,2,2,5,0,1,0,0,7,6,1,0
84968,4,0,7,0,0,1,0,0,2,7,0,1
20523,3,0,4,8,0,3,0,0,10,7,3,0
72596,2,0,3,5,0,2,0,2,7,6,2,0
36451,4,0,0,7,0,0,0,1,9,1,0,0
120915,6,0,5,5,0,3,0,3,7,2,4,0
100781,8,0,2,7,0,1,0,0,9,5,1,0
39415,7,0,4,4,0,1,0,0,6,1,3,0
20487,9,0,1,6,0,0,0,0,8,1,1,0
11838,4,0,1,8,0,1,0,3,10,1,1,0
59149,10,0,1,4,0,1,0,0,6,1,1,0
120499,4,0,2,8,0,2,0,2,10,1,1,0
23492,4,0,2,7,0,2,0,1,9,7,1,0
96965,2,1,3,7,0,3,0,1,9,4,2,0
52145,3,0,5,4,0,1,0,0,6,6,4,0
27781,5,0,1,5,0,1,0,0,7,0,1,0
27968,4,1,4,5,1,1,0,0,7,2,3,1
146385,5,0,1,7,0,1,0,0,9,1,1,0
89658,7,1,5,8,0,3,0,0,10,1,4,0
101127,6,1,7,0,1,0,1,0,2,1,0,1
125092,5,0,3,8,0,3,0,2,10,7,2,0
149612,6,0,7,0,0,1,0,0,2,0,0,0
61338,2,0,1,4,0,0,0,0,5,1,1,0
117203,7,0,1,4,0,1,0,0,5,1,1,0
121289,0,0,1,0,0,0,0,0,2,7,1,0
81050,5,0,4,7,0,2,0,1,9,6,3,0
38400,4,0,1,5,0,1,0,2,7,1,1,0
45815,6,1,1,5,0,0,0,1,7,7,1,0
72223,6,0,3,8,0,3,0,0,10,1,2,0
146572,7,0,1,7,0,0,0,2,9,1,1,0
13654,3,0,1,2,0,1,0,0,4,1,1,0
55660,7,0,6,0,0,0,0,0,0,7,0,0
82235,8,0,1,2,0,0,0,0,4,0,1,0
81809,4,0,1,7,0,1,0,2,9,1,1,0
48309,2,0,3,5,0,1,0,3,7,3,2,0
